sentiment,review,review_length,rating,preprocessed_review,sentiment_encoded
neutral,scroll wheel broke after very light use would not recommend would have been nice mouse otherwise ,16,3.0,scroll wheel broke light use would recommend would nice mouse otherwise,1
positive,bought this to replace my old apple mouse it works well holds charge easy to recharge no problems it did take little relearning to use the wheel vs the apple mouse smooth glide system great price too ,37,5.0,bought replace old apple mouse work well hold charge easy recharge problem take little relearning use wheel v apple mouse smooth glide system great price,2
positive,this worked great for the first months and then it didn work at all didn use it daily sent an email to the one provided and never got response ,29,1.0,worked great first month work use daily sent email one provided never got response,2
positive,love the mouse itself however charging wire is too short,10,1.0,love mouse however charging wire short,2
neutral,does the job ,3,5.0,job,1
neutral,this came all scratched up and feels very cheap ,9,5.0,came scratched feel cheap,1
positive,this mouse changes colors so tweens would get kick out of it love the sleep mode as it saves energy purchased the gold mouse and its very classy looking like the fact no battery is required and ve only had to charge once in day period ,46,5.0,mouse change color tweens would get kick love sleep mode save energy purchased gold mouse classy looking like fact battery required charge day period,2
positive,beautiful and ergonomic the only thing would say is the battery doesn last longer but in general it great product,20,1.0,beautiful ergonomic thing would say battery last longer general great product,2
positive,it was wonderful mouse when it arrived however it quit working ,11,5.0,wonderful mouse arrived however quit working,2
neutral,stopped working shortly after can get refund or exchange,9,3.0,stopped working shortly get refund exchange,1
negative,it very cute but it lags and skips around lot unfortunately ,11,1.0,cute lag skip around lot unfortunately,0
negative,doesn charge fast the scroll broke within days the mouse completely stopped working after few weeks it constantly would stick ,20,5.0,charge fast scroll broke within day mouse completely stopped working week constantly would stick,0
neutral,mouse stop working after couple of days feel cheap got what paid for always felt like was holding the wrong end of the mouse ,24,3.0,mouse stop working couple day feel cheap got paid always felt like holding wrong end mouse,1
negative,the charge doesn last very long so basically its wired mouse cuz its charging all the time so disappointing ,19,1.0,charge last long basically wired mouse cuz charging time disappointing,0
neutral,the mouse stopped taking charge from the charger after months,10,5.0,mouse stopped taking charge charger month,1
positive,stoped working after few weeks it won charge ,8,1.0,stoped working week charge,2
neutral,it doesn stay charged and it feels too light weight in your hand ,13,5.0,stay charged feel light weight hand,1
neutral,it works for now will see after some time ,9,1.0,work see time,1
positive,great product that is snap to setup and use plug it in and charge it and plug the receiver into your system and your good to go it fits my hand perfectly and is easy to use ,37,5.0,great product snap setup use plug charge plug receiver system good go fit hand perfectly easy use,2
negative,bought this on january and on march the scroller wheel stopped working no way to fix it so the mouse is useless now ,23,1.0,bought january march scroller wheel stopped working way fix mouse useless,0
neutral,absolutely beautiful and sleek never worked charged it until it indicated it was fully charged but it never worked ,19,1.0,absolutely beautiful sleek never worked charged indicated fully charged never worked,1
negative,i really wanted to love this mouse but it is terrible the scroll hardly works and yes tried multiple mousepads add to that the inability to click core functionality of computer mouse and the whole thing is piece of crappy light up plastic ,43,1.0,really wanted love mouse terrible scroll hardly work yes tried multiple mousepad add inability click core functionality computer mouse whole thing piece crappy light plastic,0
neutral,feels and looks cheaply made not to mention it broke in less then week ,14,5.0,feel look cheaply made mention broke less week,1
positive,the wife needed new mouse found this one she said she liked it ordered it she loves it very sleek works perfectly usb charging instead of batteries awesome ,28,5.0,wife needed new mouse found one said liked ordered love sleek work perfectly usb charging instead battery awesome,2
neutral,it turned on and that is about all it did it wouldn move the cursor tried different mouse pads and surfaces and finally gave up ,25,1.0,turned move cursor tried different mouse pad surface finally gave,1
neutral,the wheel broke after little over month am not on my laptop too much so don understand it haven even had to recharge it after the first initial charge it great big nope for me ,35,1.0,wheel broke little month laptop much understand even recharge first initial charge great big nope,1
positive,i bought this because trying to minimize the amount of wires on my desk and because the color matches my pc case but it not worth it the mouse barely works and it takes forever to get it to actually click on what you want like it pretty and the colors are cute but those are the only good things about this thankfully play with controller so it doesn hinder my gaming but if you do play mouse and keyboard absolutely don get this ,84,3.0,bought trying minimize amount wire desk color match pc case worth mouse barely work take forever get actually click want like pretty color cute good thing thankfully play controller hinder gaming play mouse keyboard absolutely get,2
positive, its really great don use it for gaming if you are looking for that review stop here but for other review keeping reading it changes color on its own you can personally change it that bummer it slowly changes color one thing that bothers me is the default red light when you move it the red light appears and it over powers the other changing colors if your fine with the red light then buy it other than that it does its job really pretty too the mouse is matte black so its not shiny just wanted to mention that ,100,5.0,really great use gaming looking review stop review keeping reading change color personally change bummer slowly change color one thing bother default red light move red light appears power changing color fine red light buy job really pretty mouse matte black shiny wanted mention,2
neutral,it became sluggish and wasnt working properly with my mac after month or so ,14,1.0,became sluggish wasnt working properly mac month,1
positive,love this product works great for work it is nice it rechargeable and the charge lasts while ,17,1.0,love product work great work nice rechargeable charge last,2
positive,worked good for week cheap and doesn work anymore tried to change battery but can open it and if it opens can figure it out order something else not this one did love the light on it ,37,5.0,worked good week cheap work anymore tried change battery open open figure order something else one love light,2
neutral,not so comfortable on hand comparing to microsoft mouse and the refresh rate seems inferior the only superiority is it design for home purposes it is ok it have very quit click,32,1.0,comfortable hand comparing microsoft mouse refresh rate seems inferior superiority design home purpose ok quit click,1
neutral,poor battery life need to charge daily,7,5.0,poor battery life need charge daily,1
positive,nice quality beautiful cards ,4,5.0,nice quality beautiful card,2
positive,i knew what was getting myself into reading the bad reviews it stops working in few weeks usually hedge my bets especially when product has so many reviews that end up with star rating alas lost this bet the scroll function key feature look for in buying mice stopped responding after few weeks fluke should buy scratcher if so because bought two one white one black and they both failed around the same time wondering if this is actually engineered to perform this way though as seeing many other reviews doing the same thing but people being bribed for star if replaced quite genius actually if you get angry customers to review it promotes product engagement but then the rating can be manipulated by replacing the cheap product and soliciting star review if this indeed is the case bravo brilliant way to get as many positive reviews for subpar product ,150,1.0,knew getting reading bad review stop working week usually hedge bet especially product many review end star rating ala lost bet scroll function key feature look buying mouse stopped responding week fluke buy scratcher bought two one white one black failed around time wondering actually engineered perform way though seeing many review thing people bribed star replaced quite genius actually get angry customer review promotes product engagement rating manipulated replacing cheap product soliciting star review indeed case bravo brilliant way get many positive review subpar product,2
neutral,scroll wheel broke after one day only used for less than an hour and it no longer scrolls and isn connected in the correct position anymore very light use hopefully replacement will be better quality if remember ll update review after using replacement ,43,5.0,scroll wheel broke one day used less hour longer scroll connected correct position anymore light use hopefully replacement better quality remember update review using replacement,1
positive,i absolutely love this mouse first off have to say my cat has knocked this done off the table multiple times and it still works that is huge with me next it very nice mouse love the colors it lights up with its so nice to not have to worry about battery too just plug in and charge and ready to go swear charge it like once month too and it still works great highly recommend this mouse ,78,1.0,absolutely love mouse first say cat knocked done table multiple time still work huge next nice mouse love color light nice worry battery plug charge ready go swear charge like month still work great highly recommend mouse,2
positive, great for the price very small but fits hand perfectly,10,2.0,great price small fit hand perfectly,2
positive,i really liked that it was easy to set up really disliked the instructions which left much to be desired once figured out the problem myself setup was easy and seamless really like the way it looks and the ease of operation it only been in use for one day so guess will keep hoping that it works as well over time ,62,4.0,really liked easy set really disliked instruction left much desired figured problem setup easy seamless really like way look ease operation use one day guess keep hoping work well time,2
neutral,it stopped working after falling on the floor ,8,5.0,stopped working falling floor,1
positive,i love this mouse wish it did come with battery option but still love it ,15,5.0,love mouse wish come battery option still love,2
neutral,i like the idea of the rechargeable battery however the charge of the battery does not last very long will continue to use the mouse but intend to buy another for use when this one is being charged which is very often ,42,5.0,like idea rechargeable battery however charge battery last long continue use mouse intend buy another use one charged often,1
positive, let me start off this review by saying was very excited to get this mouse because it matched my desk my bedroom and my laptop perfectly absolutely loved the mouse right up until two weeks of having it and it completely stopped working don waste your money not worth it ,50,1.0,let start review saying excited get mouse matched desk bedroom laptop perfectly absolutely loved mouse right two week completely stopped working waste money worth,2
neutral,thinnest mouse have ever seen ,5,2.0,thinnest mouse ever seen,1
neutral,is not usb it works well but plastic feels cheap and flymsy ,12,1.0,usb work well plastic feel cheap flymsy,1
neutral,i am very disappointed with the quality of life this mouse has bought it and was only able to use it four or five times and it has been problem for me ever since ve charged it adequately and it won start not sure if its factory malfunction or not but it should still be working ve owned it for little over month now ,64,1.0,disappointed quality life mouse bought able use four five time problem ever since charged adequately start sure factory malfunction still working owned little month,1
positive,love it,2,3.0,love,2
neutral, mouse stopped working had it worked for couple of days ,10,5.0,mouse stopped working worked couple day,1
neutral,nice,1,5.0,nice,1
negative,i have had for month and the roller broke what bummer ,11,1.0,month roller broke bummer,0
positive,sleep mode helps the charge last longer and it great for the wrist ,13,5.0,sleep mode help charge last longer great wrist,2
positive,love the feel of it with my hand and the fact it doesn need to be charged every week went over week and half before had to charge it ,29,1.0,love feel hand fact need charged every week went week half charge,2
negative,i ordered for work and for home they are great until died after months it indicated that it is charged but it does not function it might be bad switch they second died in less than months of use disposable batteries would be better for the environment than disposing of multiple rechargeable that stop working faster than battery runs out ,60,3.0,ordered work home great died month indicated charged function might bad switch second died less month use disposable battery would better environment disposing multiple rechargeable stop working faster battery run,0
neutral,battery doesn last long maybe hrs at time ,8,1.0,battery last long maybe hr time,1
neutral,the mouse does not work very disappointed it freezes on the screen ,12,5.0,mouse work disappointed freeze screen,1
neutral,i was looking for simple black led mouse for work and this one is exactly what was looking for it works great and have had no issues yet due to the size it can be little uncomfortable if you are doing lot of work using the mouse for an extended amount of time but this has only happened to me once ,61,1.0,looking simple black led mouse work one exactly looking work great issue yet due size little uncomfortable lot work using mouse extended amount time happened,1
positive,works very well charges good love it,7,1.0,work well charge good love,2
neutral,the rest of the mouse is fine but the scroll wheel no longer scrolls took just over month for it to break so can even return it now ,28,5.0,rest mouse fine scroll wheel longer scroll took month break even return,1
neutral,all good,2,5.0,good,1
neutral,item does not work,4,5.0,item work,1
negative, the wireless mouse was great in the beginning weeks later it wouldn keep charge when it did charge it would only work if it was hooked up to the charger on my laptop meaning still couldn use it then would unplug it and lights started going crazy so would turn the switch off and on to try and use it epic fail waste of my hard working money then they only give you certain amount of time to return so basically it total loss ,84,1.0,wireless mouse great beginning week later keep charge charge would work hooked charger laptop meaning still use would unplug light started going crazy would turn switch try use epic fail waste hard working money give certain amount time return basically total loss,0
neutral,dont buy stopped working after weeks,6,4.0,dont buy stopped working week,1
neutral,it functions according to my expectation ,6,4.0,function according expectation,1
positive,the lights are entertaining it works well and it survived the delivery driver squashing the package,16,1.0,light entertaining work well survived delivery driver squashing package,2
negative,i should ve listened others review read but thought it might be some specific situation but my the bluetooth don work at all and now have to trouble myself with all the returning work ,34,4.0,listened others review read thought might specific situation bluetooth work trouble returning work,0
negative,it quit working it dead er than door knob ,9,2.0,quit working dead er door knob,0
positive, love it love rose gold so this was perfect you can have the lights like did or just solid color or off it is wireless and comes with charger and love the quite clicks,34,3.0,love love rose gold perfect light like solid color wireless come charger love quite click,2
neutral,it stop working within weeks ,5,5.0,stop working within week,1
positive,we were using an amazon basic mouse and after couple years it broke we upgraded to this mouse and my teenage son loves it he uses it at school with his laptop and loves how the colors light up under it ,41,5.0,using amazon basic mouse couple year broke upgraded mouse teenage son love us school laptop love color light,2
neutral,you won hear the annoying clicking sound from this mouse ,10,5.0,hear annoying clicking sound mouse,1
negative,bought it in september stopped working after few days they sent me replacement now it february and it totally died so sad use it at work ,26,5.0,bought september stopped working day sent replacement february totally died sad use work,0
positive,this is the best mouse ve used in long time ve bought them for my kids and my friends and have back ups so when one is charging always have one,31,1.0,best mouse used long time bought kid friend back ups one charging always one,2
neutral,i like the product and the idea too bad that once the charge goes it stops working figured the first one was lemon so got replacement but same issue no idea why but just works for like week and then dies ,41,5.0,like product idea bad charge go stop working figured first one lemon got replacement issue idea work like week dy,1
positive, haven had this mouse for more than week and the left click is already broken it won snap back into place loved the mouse in the beginning which made me order replacement hopefully this one doesn let me down ,39,5.0,mouse week left click already broken snap back place loved mouse beginning made order replacement hopefully one let,2
positive,now that an old man and don need anything super fancy for my desktop replaced deathadder from with it only been using it for about hours but no major complaints so far takes little bit of getting use to because it sits so low but the clicks feel nice and seems fairly responsive ,53,1.0,old man need anything super fancy desktop replaced deathadder using hour major complaint far take little bit getting use sits low click feel nice seems fairly responsive,2
neutral,really smooth soft click liked ,5,2.0,really smooth soft click liked,1
positive,easy to use only took couple hours to first charge looks cute ,12,1.0,easy use took couple hour first charge look cute,2
positive, cute colorful small lightweight quiet soft clicks easy quick set up ,11,4.0,cute colorful small lightweight quiet soft click easy quick set,2
neutral,i liked this mouse when it worked but the scroll real broke within couple weeks ,15,1.0,liked mouse worked scroll real broke within couple week,1
positive,for the price realized could have gotten something lot better it cheaply made glitches even with full charge got the white one and wish would have read the reviews before hand because it does indeed show the whole internal lighting unit which just adds the the cheapness of it it does the job still all considering just think it value is overestimated ,62,1.0,price realized could gotten something lot better cheaply made glitch even full charge got white one wish would read review hand indeed show whole internal lighting unit add cheapness job still considering think value overestimated,2
negative,scrolling wheel went lose broke less than week after purchase ,10,1.0,scrolling wheel went lose broke less week purchase,0
neutral,this product stopped working after month and of course am outside of my return window,15,1.0,product stopped working month course outside return window,1
neutral,was little squirrely to use,5,5.0,little squirrely use,1
positive,love this mouse works great and great price,8,1.0,love mouse work great great price,2
positive,i love this mouse love the led colored lights the most another one of my favorite is that it is magnetic and sticks to my laptop when in the car or at the local coffee shop ,36,3.0,love mouse love led colored light another one favorite magnetic stick laptop car local coffee shop,2
neutral,i fell in love with the color changing of this product but it kept cutting off and sticking had to return it,22,1.0,fell love color changing product kept cutting sticking return,1
neutral,good thing it rechargeable because otherwise your changing batteries everyday instead of just plugging it in ,16,1.0,good thing rechargeable otherwise changing battery everyday instead plugging,1
negative,this mouse was waste of money it broke after using it one month bought another mouse couple weeks ago and it will not charge do not recommend this mouse ,29,5.0,mouse waste money broke using one month bought another mouse couple week ago charge recommend mouse,0
positive,multi use can use this mouse for anything you need to get done smooth slick and overall perfect performance ,19,2.0,multi use use mouse anything need get done smooth slick overall perfect performance,2
neutral,stoped working after week,4,1.0,stoped working week,1
neutral,this item did not work from the very beginning sent it back will not purchase from this company again ,19,4.0,item work beginning sent back purchase company,1
positive,i needed mouse for my laptop and so bought this the set up was really easy simply charge the mouse plug in the usb and done the silent clicks are indeed quiet but wouldn say they re completely inaudible but that totally okay with me when the mouse charges it turns blue and when it done charging the light will switch off when turn on the mouse to the color mode the colors fade nicely to the next the only nitpick for me is that wish the white part of the top of the mouse was more opaque so that the backlit colors don peek through it but it personal preference also like how it came with usb to usbc adapter just in case it needs to be used for mac overall great mouse ,134,5.0,needed mouse laptop bought set really easy simply charge mouse plug usb done silent click indeed quiet say completely inaudible totally okay mouse charge turn blue done charging light switch turn mouse color mode color fade nicely next nitpick wish white part top mouse opaque backlit color peek personal preference also like came usb usbc adapter case need used mac overall great mouse,2
positive,works really well plus it looks nice great price too ,10,2.0,work really well plus look nice great price,2
positive,had bit of an issue but the customer service was fantastic and corrected it fast ,15,1.0,bit issue customer service fantastic corrected fast,2
neutral,doesn hold charge long,4,2.0,hold charge long,1
neutral,it was perfect until the wheel stopped working before months of use,12,1.0,perfect wheel stopped working month use,1
positive,great price and service,4,4.0,great price service,2
neutral,never buy this product when buy something usually look at product reviews but this product seems to have lot of problems unlike reviews don usually post reviews but posting this product review in hopes that there won be victims like me bought mouse and it worked fine at first but after charging it it started to get weird and didn work at all so thought there might be small problem so exchanged the new one instead of refund received new mouse and it worked fine for another few days but after charging it again it didn work the product user manual says it is sensitive to charging but this is serious problem bought this product for the convenience of not using the battery or wire but think it makes no sense to not work because of the charging prolem ,139,5.0,never buy product buy something usually look product review product seems lot problem unlike review usually post review posting product review hope victim like bought mouse worked fine first charging started get weird work thought might small problem exchanged new one instead refund received new mouse worked fine another day charging work product user manual say sensitive charging serious problem bought product convenience using battery wire think make sense work charging prolem,1
neutral,i bought this for my nephew and unfortunately he told me that its just all over the place on his chromebook screen doesn go where you need it to go etc,31,5.0,bought nephew unfortunately told place chromebook screen go need go etc,1
positive,randomly moves the cursor to the top left definitely for gaming ,11,1.0,randomly move cursor top left definitely gaming,2
neutral,nice feel and looks nice but the scroll wheel works on and off making more advanced tasks difficult ,18,1.0,nice feel look nice scroll wheel work making advanced task difficult,1
positive,love it the rose gold color is so cute and it lightweight loves the light change works great for me ,20,5.0,love rose gold color cute lightweight love light change work great,2
positive,i recently got job working from home and needed mouse to accompany purchased the rose gold it is beautiful came on time and hooked up with no issues if you want to use the color changing lights make sure to flip the switch on the bottom of the mouse all the way to the sunshine symbol took me few to figure that out but otherwise great product ,67,5.0,recently got job working home needed mouse accompany purchased rose gold beautiful came time hooked issue want use color changing light make sure flip switch bottom mouse way sunshine symbol took figure otherwise great product,2
positive,it quiet and cute love all the colors and the battery last long time,14,1.0,quiet cute love color battery last long time,2
positive,battery life has been great so far it goes to sleep mode when not in use but there also on off function love that you can charge it also just plug it in once every few days overnight ,38,1.0,battery life great far go sleep mode use also function love charge also plug every day overnight,2
neutral,bought this twice because it matched my keyboard both times it broke within month used it lightly throughout the day too,21,5.0,bought twice matched keyboard time broke within month used lightly throughout day,1
negative, bought this mouse read direction simple and easy plug in to phone charger for hrs then unplug mouse will turn blue say it need to be charged hrs then it will turn red then go to mouse plug in the usb port in to windows computer then turn button on mouse underneath to on then try mouse out to see if it moves on computer give this out of stars dont give in to bad reviws people post bad reviews and never reads instruction first,85,1.0,bought mouse read direction simple easy plug phone charger hr unplug mouse turn blue say need charged hr turn red go mouse plug usb port window computer turn button mouse underneath try mouse see move computer give star dont give bad reviws people post bad review never read instruction first,0
positive,love it came with the mouse itself white cable black usbc adapter the white little adapter underneath the mouse easily connected to the black usb that used for my macbook to usbc the white small cable believe to charge it you can easily turn off the lights but they look really nice on mouse is thin but comfortable although order the silver to match my laptop it is not the exact same but close just bit darker ,77,1.0,love came mouse white cable black usbc adapter white little adapter underneath mouse easily connected black usb used macbook usbc white small cable believe charge easily turn light look really nice mouse thin comfortable although order silver match laptop exact close bit darker,2
positive,it days past the return deadline and this item is not working any longer wow,15,1.0,day past return deadline item working longer wow,2
negative,the scroll wheel broke after month or two have to buy another mouse wont buy this again it good size to save space but it doesnt fit the hand well ,30,2.0,scroll wheel broke month two buy another mouse wont buy good size save space doesnt fit hand well,0
neutral,poor quality does not hold charge has sleek design but mouse does not work as intended ,16,2.0,poor quality hold charge sleek design mouse work intended,1
positive,its very quite you can work without that horrendous clicking sound of regular mouse you will love this device ,19,2.0,quite work without horrendous clicking sound regular mouse love device,2
neutral,got it broken the scroll works but nothing else works asked to get new mouse but have to go somewhere to return it which don have time for ,28,1.0,got broken scroll work nothing else work asked get new mouse go somewhere return time,1
neutral,i loved this mouse for the literal two weeks days that had it and it was working for no apparent reason the scroll wheel just suddenly stopped working approximately five seconds after had last used it had not subjected it to any pressure or abuse of any sort was looking at document scrolled down continued reading tried to scroll down and nope in the lower ratings this seems to be common problem bummed really did love the mouse ,78,5.0,loved mouse literal two week day working apparent reason scroll wheel suddenly stopped working approximately five second last used subjected pressure abuse sort looking document scrolled continued reading tried scroll nope lower rating seems common problem bummed really love mouse,1
neutral,loved this mouse until it stopped working several months after purchase it will no longer charge and cannot use it very disappointed ,22,5.0,loved mouse stopped working several month purchase longer charge use disappointed,1
negative,very frustrating as they both broke on the same day about month after purchase and too late to return ,19,2.0,frustrating broke day month purchase late return,0
neutral,long lasting power recharges fast,5,5.0,long lasting power recharges fast,1
neutral,this mouse didn last month the buttons broke and the seller will not replace it waste of money do not buy,21,5.0,mouse last month button broke seller replace waste money buy,1
positive,the wireless mouse worked well in the begining it was small but it fit in my hand well and the lights were nice though not necessary feature received it in september it wasnt something used every day about once or twice week in february the scroll wheel just broke it spins loosely and no longer scrolls on the screen do not use it often and am definitely not rough on it am dissapointed in the quality of this product ,79,1.0,wireless mouse worked well begining small fit hand well light nice though necessary feature received september wasnt something used every day twice week february scroll wheel broke spin loosely longer scroll screen use often definitely rough dissapointed quality product,2
neutral,the mouse looks great feels great but didn get more than few hours out of it before it died left it plugged in for several hours but it doesn stay on anymore despite several recharge attempts it just doesn turn on anymore ,42,1.0,mouse look great feel great get hour died left plugged several hour stay anymore despite several recharge attempt turn anymore,1
positive,this was good mouse got as gift and really liked it until it didn work anymore after while it stoped working and looked at some other reviews that said they got defective one well guess did and they are kinda common to be defective so would only risk buying it if you want the mouse decent amount would say you re chance of it being broken is like also it only stops working after like days so you won know until then if you buy it also did like that they added usb adapter in the box use they adapter for something else now ,104,1.0,good mouse got gift really liked work anymore stoped working looked review said got defective one well guess kinda common defective would risk buying want mouse decent amount would say chance broken like also stop working like day know buy also like added usb adapter box use adapter something else,2
neutral,to slow don buy,4,1.0,slow buy,1
positive,nice mouse the battery lasts along time before needing recharged and like that do not have to use mousepad with it as it works great even without one ,28,2.0,nice mouse battery last along time needing recharged like use mousepad work great even without one,2
negative,the color and shape are very nice but the mouse and the packaging arrived very dirty the scroll wheel on the mouse is made from cheap rubbery silicone material and is completely crooked it also did not have good feel when testing it out not smooth and feels like it take lot of extra pressure to operate than others not sure if this is due to it being crooked or not but either way this will be returned ,78,3.0,color shape nice mouse packaging arrived dirty scroll wheel mouse made cheap rubbery silicone material completely crooked also good feel testing smooth feel like take lot extra pressure operate others sure due crooked either way returned,0
neutral,the wheel was broken the second day used it,9,2.0,wheel broken second day used,1
positive,i love the color rose gold and it works great on variety of surfaces just wish it would alert me when the battery is low so can charge it before need it for work ,34,1.0,love color rose gold work great variety surface wish would alert battery low charge need work,2
neutral,i like it,3,5.0,like,1
neutral,it was working fine busted it maybe times max and it stopped workingit looks to be charging but isn when placed into on mode the red light flashes and goes off right away ,33,1.0,working fine busted maybe time max stopped workingit look charging placed mode red light flash go right away,1
negative,mouse stopped working after month horrible quality wouldn buy again,10,5.0,mouse stopped working month horrible quality buy,0
neutral,had to use different type to usb adapter because this one did not work ,14,5.0,use different type usb adapter one work,1
neutral, less thank month later the part that goes into the computer has broken,13,5.0,less thank month later part go computer broken,1
positive,this mouse is gorgeous it is so quiet and feels great in my hand it synced with my laptop with ease do feel the charge doesn last as long as like but you can use it while it charging which is nice definitely recommend ,44,5.0,mouse gorgeous quiet feel great hand synced laptop ease feel charge last long like use charging nice definitely recommend,2
positive,item came fast easy to set up and use love that it is rechargeable and you don have to worry about constantly replacing the batteries use this at work plug it in at night to charge and it lasts all day while work with no issues would recommend this item ,50,1.0,item came fast easy set use love rechargeable worry constantly replacing battery use work plug night charge last day work issue would recommend item,2
neutral,came quickly easy to set up delivery person put in spot close to door and knocked to let me know it was there door bell not working and he was wearing his mask,33,1.0,came quickly easy set delivery person put spot close door knocked let know door bell working wearing mask,1
negative,is dead will not hold charge cheap but not worth what paid ,12,1.0,dead hold charge cheap worth paid,0
negative,i ordered of these for our new macbook computers we got for christmasmy granddaughters broke after only couple of uses mine finally tried setting up last week after being on holiday and it doesn even work return windows are closed so they will make its way to trashdonnot but this items they are cheap and waste ,56,1.0,ordered new macbook computer got christmasmy granddaughter broke couple us mine finally tried setting last week holiday even work return window closed make way trashdonnot item cheap waste,0
negative,i thought had to keep charging this work hour days and it hasn died on me yet charged it time in week ,22,1.0,thought keep charging work hour day died yet charged time week,0
positive,simple sleek quiet and most of all it has usb adapter for my macbook air the low profile design is ideal to be carry around mouse if need to bring one ve used lot of wireless mouse and this by far is the best ,44,1.0,simple sleek quiet usb adapter macbook air low profile design ideal carry around mouse need bring one used lot wireless mouse far best,2
neutral,doesn work at all am tired of charging it and nothing happens wasted my money ,15,1.0,work tired charging nothing happens wasted money,1
neutral,scroll wheel broke within few weeks of use ,8,2.0,scroll wheel broke within week use,1
positive,really like the quietness of the clicks flatter than most mice took little bit of getting used to but fine now will be easy to travel with very responsive charges by usb and lasts for several days no need to have extra batteries led lights are fun but hard to see in bright light looking at the screen when using the mouse who doesn so don really see the lights that much ,72,5.0,really like quietness click flatter mouse took little bit getting used fine easy travel responsive charge usb last several day need extra battery led light fun hard see bright light looking screen using mouse really see light much,2
neutral,i not the only person it seems it works for some and not others don know works fine with other computers ve plugged it into just don buy it for macbook ,31,5.0,person seems work others know work fine computer plugged buy macbook,1
neutral,i could not pair the mouse to my macbook air really don know why ,14,4.0,could pair mouse macbook air really know,1
negative,i had similar mouse that lasted two years this one died after only month would work after charging for few minutes and then stopped ,24,3.0,similar mouse lasted two year one died month would work charging minute stopped,0
negative,usb receiver broke inside my son computer when he tried pulling it out the reason he tried pulling it out was because the mouse wasn responding this happened on the st time ever trying to pull it out he had to use tweezer to take out the broken piece now none of it is working ,55,5.0,usb receiver broke inside son computer tried pulling reason tried pulling mouse responding happened st time ever trying pull use tweezer take broken piece none working,0
negative,the matte coating started peeling off within week or two of using it it still works well but looks terrible ,20,5.0,matte coating started peeling within week two using still work well look terrible,0
neutral,worked well for while but then stopped working completely after months it would charge but not turn on ,18,2.0,worked well stopped working completely month would charge turn,1
neutral,product quit working after return window of one month closed,10,5.0,product quit working return window one month closed,1
neutral,this mouse looks good but that it it works poorly finally gave up and went back to my old wired mouse it just doesn work well you end up wildly moving it around and getting the cursor to where you want it to click on something is struggle would not recommend this mouse ,53,5.0,mouse look good work poorly finally gave went back old wired mouse work well end wildly moving around getting cursor want click something struggle would recommend mouse,1
positive,this mouse has met all of my requirements when my old wireless mouse began to die opted for this rechargeable one because was sick of batteries this has very long battery life as use it for up to hours in row use it for gaming league of legends and it works perfectly no lag and it crazy cute to boot with all of it colours and such haven had it very long about month and half but very happy with it so far ,83,5.0,mouse met requirement old wireless mouse began die opted rechargeable one sick battery long battery life use hour row use gaming league legend work perfectly lag crazy cute boot colour long month half happy far,2
neutral,does it exactly what it should do ,7,5.0,exactly,1
neutral,worked great for about weeks then died never to be used again ,12,5.0,worked great week died never used,1
positive,i absolutely love this mouse it is slim and sleek and looks great against the computer skin ordered it functions perfectly love the changing colors on the sides the clicks are silent as advertised additionally love that it comes with charging cord really happy that purchased this wireless mouse ,49,1.0,absolutely love mouse slim sleek look great computer skin ordered function perfectly love changing color side click silent advertised additionally love come charging cord really happy purchased wireless mouse,2
positive,for the price it great it not too silent on the clicking but it ok still love it ,18,4.0,price great silent clicking ok still love,2
neutral,i tried charging this mouse but every time take it off the charger it goes off this was the first time even using it too ,25,1.0,tried charging mouse every time take charger go first time even using,1
neutral,fully charged it still started cutting out within an hour of use and now doesn connect at all ,18,5.0,fully charged still started cutting within hour use connect,1
positive,this mouse never worked charged it fully before first use tried it on different devices never worked it turns on the led is nice but it won move or click will be requesting refund don get this not worth the hassle nor the price this is s ,47,5.0,mouse never worked charged fully first use tried different device never worked turn led nice move click requesting refund get worth hassle price,2
neutral,it sure looks nice but there no patch fix update to make this compatible with the new os boo hiss ,20,5.0,sure look nice patch fix update make compatible new o boo hiss,1
neutral,the mouse cursor jumps around and doesn stay where it supposed to ,12,1.0,mouse cursor jump around stay supposed,1
neutral,i loved it until it stopped working today,8,1.0,loved stopped working today,1
negative,my daughter got this mouse for christmas after only weeks the usb receiver broke and today the scroll wheel prior to this she said it was working well and she really liked the feel too bad the quality is crap ,40,1.0,daughter got mouse christmas week usb receiver broke today scroll wheel prior said working well really liked feel bad quality crap,0
neutral,i got the usb receiver but no mouse in the box ,11,1.0,got usb receiver mouse box,1
positive, love that the colors change it perfect haven even had to charge it since got it ,16,5.0,love color change perfect even charge since got,2
negative,fully charged would work with the mouse for hour minutes and then it would lag and hardly move or not move at all fully charged kept having to switch usb ports to get it working again which worked sometimes but then it again would get stuck lag or stop working have the latest mac software what don have is time for this mouse returned it bought another wireless usb mouse from another company that works perfectly ,76,1.0,fully charged would work mouse hour minute would lag hardly move move fully charged kept switch usb port get working worked sometimes would get stuck lag stop working latest mac software time mouse returned bought another wireless usb mouse another company work perfectly,0
neutral,loved this but based on other reviews not the only one with this issue stopped recharging and working after months ,20,1.0,loved based review one issue stopped recharging working month,1
positive,it is really great it don need charge for days then finally dead on me love it really cute and colorful use lots use with my macbook pro ,28,2.0,really great need charge day finally dead love really cute colorful use lot use macbook pro,2
